ID,label,statement,subject,speaker,job_title,state,party,barely_true_count,false_count,half_true_count,mostly_true_count,pants_on_fire_count,context,target,words
1123.json,false,Health care reform legislation is likely to mandate free sex change surgeries.,health-care,blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,a news release,0,"['health', 'care', 'reform', 'legislation', 'is', 'likely', 'to', 'mandate', 'free', 'sex', 'change', 'surgeries', '.']"
2342.json,barely-true,Jim Dunnam has not lived in the district he represents for years now.,candidates-biography,republican-party-texas,,Texas,republican,3.0,1.0,1.0,3.0,1.0,a press release.,1,"['jim', 'dunnam', 'has', 'not', 'lived', 'in', 'the', 'district', 'he', 'represents', 'for', 'years', 'now', '.']"
153.json,half-true,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",ethics,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"a Democratic debate in Philadelphia, Pa.",1,"[""i'm"", 'the', 'only', 'person', 'on', 'this', 'stage', 'who', 'has', 'worked', 'actively', 'just', 'last', 'year', 'passing,', 'along', 'with', 'russ', 'feingold,', 'some', 'of', 'the', 'toughest', 'ethics', 'reform', 'since', 'watergate', '.']"
7115.json,mostly-true,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",elections,robert-menendez,U.S. Senator,New Jersey,democrat,1.0,3.0,1.0,3.0,0.0,a speech,2,"['for', 'the', 'first', 'time', 'in', 'history,', 'the', 'share', 'of', 'the', 'national', 'popular', 'vote', 'margin', 'is', 'smaller', 'than', 'the', 'latino', 'vote', 'margin', '.']"
5947.json,false,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","history,state-budget",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,an interview with CBN News,0,"['when', 'mitt', 'romney', 'was', 'governor', 'of', 'massachusetts,', 'we', 'didnt', 'just', 'slow', 'the', 'rate', 'of', 'growth', 'of', 'our', 'government,', 'we', 'actually', 'cut', 'it', '.']"
8705.json,barely-true,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,health-care,george-will,Columnist,Maryland,columnist,7.0,6.0,3.0,5.0,1.0,"comments on ""Fox News Sunday""",1,"['most', 'of', 'the', '(affordable', 'care', 'act)', 'has', 'already', 'in', 'some', 'sense', 'been', 'waived', 'or', 'otherwise', 'suspended', '.']"
3863.json,barely-true,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",federal-budget,national-republican-congressional-committee,,,republican,18.0,9.0,8.0,5.0,8.0,a news release,1,"['u', '.s', '.', 'rep', '.', 'ron', 'kind,', 'd-wis', '.,', 'and', 'his', 'fellow', 'democrats', 'went', 'on', 'a', 'spending', 'spree', 'and', 'now', 'their', 'credit', 'card', 'is', 'maxed', 'out']"
10173.json,false,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,"economy,income",dennis-richardson,state representative,Oregon,republican,0.0,4.0,1.0,2.0,0.0,a campaign debate,0,"['women', 'and', 'men', 'both', 'are', 'making', 'less', 'when', 'you', 'adjust', 'for', 'inflation', 'than', 'when', 'john', 'kitzhaber', 'was', 'first', 'elected', 'governor', '.']"
9867.json,mostly-true,The United States has the highest corporate tax rate in the free world.,"corporations,taxes",eric-bolling,"Co-host on Fox News Channel's ""The Five""",,none,2.0,1.0,1.0,1.0,0.0,"a discussion on Fox News' ""The Five""",2,"['the', 'united', 'states', 'has', 'the', 'highest', 'corporate', 'tax', 'rate', 'in', 'the', 'free', 'world', '.']"
3910.json,half-true,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,candidates-biography,ted-nugent,musician,Texas,republican,0.0,0.0,2.0,0.0,2.0,an oped column.,1,"['rick', 'perry', 'has', 'never', 'lost', 'an', 'election', 'and', 'remains', 'the', 'only', 'person', 'to', 'have', 'won', 'the', 'texas', 'governorship', 'three', 'times', 'in', 'landslide', 'elections', '.']"
